ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
412650,0.7021289805594078,0.41524532816772275,Russell,Republican,rank-and-file Republican,22,154,85,106,house
412677,0.2729477193357234,0.01797698262226688,Evans,Democrat,moderate Democratic follower,9,622,9,9,house
412676,0.6182489483981783,0.17590853573664594,Comer,Republican,centrist Republican follower,5,117,60,71,house
412731,0.6544098013014009,0.4889624822664422,Gallagher,Republican,centrist Republican,19,235,207,313,house
412698,0.5858176769230519,0.348908886599338,Mast,Republican,centrist Republican,20,241,108,163,house
412713,0.6690872253507363,0.3363335295335019,Bacon,Republican,moderate Republican follower,20,319,120,166,house
412697,0.3802832259676551,0.3733922263706192,Crist,Democrat,rank-and-file Democrat,16,365,181,233,house
412696,0.36628712685595427,0.330916259657772,Demings,Democrat,rank-and-file Democrat,9,340,160,214,house
412719,0.5875827205034586,0.30129023478196537,Faso,Republican,centrist Republican follower,25,338,113,194,house
412721,0.59324550256856,0.5741663397762822,Fitzpatrick,Republican,centrist Republican,32,554,288,562,house
412690,0.7043821140232365,0.38026312447197597,Gaetz,Republican,rank-and-file Republican,13,325,131,203,house
412723,0.5487110927669364,0.20672977848431523,González-Colón,Republican,centrist Republican follower,33,217,65,124,house
412684,0.264389618443314,0.4163316518364386,Khanna,Democrat,rank-and-file Democrat,17,784,168,526,house
412716,0.3696655139530785,0.06032035781667745,Kihuen,Democrat,moderate Democratic follower,9,293,22,28,house
412701,0.3866613162999062,0.3470605167481543,Krishnamoorthi,Democrat,centrist Democrat,21,345,165,346,house
412710,0.6774741305212113,0.1418682583772242,Mitchell,Republican,moderate Republican follower,9,231,46,52,house
412722,0.6525310028287222,0.3192167065216047,Smucker,Republican,centrist Republican follower,13,210,98,127,house
412717,0.4278930039171531,0.16972080866249983,Suozzi,Democrat,centrist Democratic follower,10,367,53,70,house
412720,0.638221498917297,0.24003036733708893,Tenney,Republican,centrist Republican follower,18,277,89,109,house
412683,0.7155031220152636,0.49401044164904123,Biggs,Republican,rank-and-file Republican,32,255,166,365,house
412691,0.6728486311500376,0.29772681625110337,Dunn,Republican,moderate Republican follower,16,208,96,144,house
412729,0.6670354997582613,0.4065642766834747,Garrett,Republican,centrist Republican,21,230,153,256,house
412706,0.6622509902070052,0.27795400645512747,Johnson [LA4],Republican,centrist Republican follower,10,152,78,103,house
412692,0.6235395328613909,0.3309584095687836,Rutherford,Republican,centrist Republican follower,12,212,113,142,house
412687,0.27356207668090177,0.24466049951787824,Barragán,Democrat,moderate Democratic follower,13,456,111,193,house
412689,0.3624071232627701,0.07251953799461014,Blunt Rochester,Democrat,moderate Democratic follower,8,318,30,49,house
412715,0.410545891822154,0.41805931767285026,Rosen,Democrat,centrist Democrat,21,467,220,372,house
412704,0.6976547386045246,0.24362180581001888,Marshall,Republican,moderate Republican follower,11,289,80,97,house
412707,0.35424782508535557,0.42226674214914356,Brown,Democrat,rank-and-file Democrat,26,359,190,464,house
412693,0.3797812884585114,0.28971318681110914,Lawson,Democrat,moderate Democratic follower,19,326,114,260,house
412728,0.3514218314552699,0.3418889333551811,McEachin,Democrat,rank-and-file Democrat,20,328,149,358,house
412688,0.416669157722963,0.3362281055472562,Correa,Democrat,centrist Democrat,21,367,151,303,house
412695,0.2712307385412115,0.2834209754008112,Soto,Democrat,moderate Democratic follower,34,748,108,207,house
412714,0.5148892332694028,0.2664236652804297,Gottheimer,Democrat,centrist Democratic follower,19,258,121,151,house
412686,0.3402180651412155,0.4010200542519154,Carbajal,Democrat,rank-and-file Democrat,17,455,190,358,house
412718,0.28371225999614236,0.3513372967712334,Espaillat,Democrat,rank-and-file Democrat,27,522,145,394,house
412739,0.3632283905214064,0.22035069952712827,Gomez,Democrat,moderate Democratic follower,6,236,97,148,house
412730,0.23197180099489417,0.3788990498036903,Jayapal,Democrat,progressive Democrat,18,655,157,466,house
412744,0.4565024429551805,0.07649084488532976,Lamb,Democrat,centrist Democratic follower,7,88,32,34,house
412749,0.4380133641670004,0.08736776472166206,Morelle,Democrat,centrist Democratic follower,1,47,30,30,house
412694,0.4595921010577839,0.4831441059411173,Murphy [FL7],Democrat,centrist Democrat,18,308,223,633,house
412685,0.38170086145561827,0.18950809525692736,Panetta,Democrat,moderate Democratic follower,13,377,73,89,house
412708,0.23596545169262167,0.3168846731260421,Raskin,Democrat,moderate Democratic follower,13,853,141,278,house
412702,0.7111929875869623,0.36527585370068016,Banks,Republican,rank-and-file Republican,21,291,117,168,house
412709,0.6161255277630655,0.21470405707695087,Bergman,Republican,centrist Republican follower,10,170,69,106,house
412711,0.5848858304236215,0.15486377182062092,Lewis [MN2],Republican,centrist Republican follower,10,117,47,61,house
412712,0.6957129522400266,0.30944437612268394,Budd,Republican,moderate Republican follower,31,224,84,118,house
412700,0.6721372214602784,0.2803912193705797,Ferguson,Republican,moderate Republican follower,10,190,75,100,house
412725,0.49471195497683257,0.07136538290774182,Gonzalez,Democrat,centrist Democratic follower,8,367,30,32,house
412727,0.5612170984440698,0.38042190048451807,Taylor,Republican,centrist Republican,19,117,174,243,house
412732,0.6059835444045762,0.1398014859287077,Cheney,Republican,centrist Republican follower,28,103,34,43,house
412705,0.6365711518252246,0.33692698143972377,Higgins [LA3],Republican,centrist Republican,23,159,104,144,house
412699,0.6635284548698496,0.30768270008937293,Rooney [FL19],Republican,centrist Republican follower,21,216,83,142,house
412738,0.7544549526065897,0.2877480383793147,Norman,Republican,moderate Republican follower,31,303,80,115,house
412682,0.4786339898952032,0.2690551722592782,O’Halleran,Democrat,centrist Democratic follower,21,330,136,182,house
412724,0.6327220241510694,0.1982240079916311,Kustoff,Republican,centrist Republican follower,13,122,66,75,house
412745,0.6039954705827496,0.17501553819720936,Lesko,Republican,centrist Republican follower,3,96,45,51,house
412735,0.6401398332095768,0.04845953570214489,Estes,Republican,centrist Republican follower,9,125,7,15,house
412736,0.6407029400288089,0.053435496906169666,Gianforte,Republican,centrist Republican follower,15,150,16,18,house
412703,0.6026466228208788,0.15061164734485247,Hollingsworth,Republican,centrist Republican follower,8,115,41,48,house
412747,0.4979027643324055,0.013285067838915083,Balderson,Republican,centrist Republican follower,0,9,0,0,house
412740,0.5867508695140166,0.1050079132451873,Curtis,Republican,centrist Republican follower,10,102,26,45,house
412726,0.676863281847517,0.09983153309332851,Arrington,Republican,moderate Republican follower,10,167,28,40,house
412737,0.6134783643646418,0.03581596725596627,Handel,Republican,centrist Republican follower,5,118,8,8,house
412751,0.4712125786111831,0.008714378578870334,Wild,Democrat,centrist Democratic follower,1,13,0,0,house
412746,0.5435321790727409,0,Cloud,Republican,centrist Republican follower,0,28,0,0,house
412748,0.4941475273585969,0.013285067838915083,Hern,Republican,centrist Republican follower,0,3,0,0,house
412750,0.46854441415585835,0.007411337904372024,Scanlon,Democrat,centrist Democratic follower,1,14,0,0,house
412752,0.48556845025047646,0.016418297240197666,Jones [MI13],Democrat,centrist Democratic follower,2,4,1,2,house
